Time,SoC,Temp,Vol,Curr
3104,92.6300735352882,19.9228301174737,4.06590829008719,3.69952182085131
3105,92.6278817381546,19.9229122306664,4.06589862429062,3.69951663721117
3106,92.6256899346671,19.9229943441037,4.06588895846526,3.69951145329285
3107,92.6234981249947,19.923076457779,4.06587929261188,3.69950626909941
3108,92.6213063093,19.9231585716861,4.06586962673123,3.69950108463386
3109,92.6191144877399,19.9232406858187,4.06585996082401,3.69949589989921
3110,92.6169226604651,19.9233228001711,4.06585029489093,3.69949071489834
3111,92.6147308276208,19.9234049147376,4.06584062893265,3.69948552963427
3112,92.6125389893465,19.9234870295128,4.06583096294981,3.69948034410978
3113,92.6103471457763,19.9235691444913,4.06582129694302,3.69947515832779
3114,92.6081552970394,19.9236512596683,4.06581163091287,3.69946997229107
3115,92.6059634432597,19.9237333750389,4.06580196485994,3.69946478600234
3116,92.6037715845566,19.9238154905983,4.06579229878477,3.69945959946447
3117,92.6015797210448,19.9238976063423,4.06578263268789,3.69945441267998
3118,92.5993878528348,19.9239797222663,4.06577296656981,3.69944922565172
3119,92.5971959800329,19.9240618383664,4.065763300431,3.69944403838219
3120,92.5950041027412,19.9241439546385,4.06575363427194,3.69943885087408
3121,92.5928122210365,19.9242279156493,4.06574396809309,3.69943366312989
3122,92.590620334768,19.9243158421361,4.06573430189477,3.69942847515219
3123,92.5884284434162,19.9244037688059,4.06572463567633,3.69942328694294
3124,92.5862365465053,19.9244916956796,4.06571496943547,3.69941809850309
3125,92.5840446436085,19.9245796227763,4.06570530317009,3.69941290983389
3126,92.5818527343397,19.9246675501131,4.06569563687831,3.69940772093652
3127,92.5796608183505,19.9247554777056,4.06568597055844,3.69940253181231
3128,92.5774688953296,19.9248434055676,4.06567630420893,3.69939734246267
3129,92.5752769650039,19.9249313337117,4.0656666378284,3.69939215288905
3130,92.5730850271396,19.9250192621488,4.06565697141567,3.69938696309293
3131,92.5708930815429,19.9251071908884,4.06564730496969,3.69938177307583
3132,92.5687011280597,19.9251951199381,4.0656376384896,3.69937658283956
3133,92.5665091665744,19.9252830493042,4.06562797197474,3.69937139238577
3134,92.5643171970085,19.9253709789913,4.06561830542459,3.69936620171625
3135,92.5621252193182,19.9254589090025,4.06560863883881,3.69936101083292
3136,92.5599332334913,19.9255468393397,4.06559897221719,3.69935581973771
3137,92.5577412395471,19.9256345718835,4.0655893055597,3.69935062843257
3138,92.5555492375528,19.9257220018414,4.0655796388664,3.69934543691959
3139,92.5533572276256,19.9258094321204,4.06556997213761,3.6993402452009
3140,92.5511652098979,19.9258968627158,4.06556030537383,3.69933505327868
3141,92.5489731845136,19.9259842936223,4.06555063857565,3.6993298611552
3142,92.5467811516264,19.9260717248342,4.0655409717437,3.6993246688328
3143,92.5445891113974,19.9261591563454,4.06553130487867,3.69931947631365
3144,92.5423970639927,19.9262465881494,4.06552163798126,3.69931428360003
3145,92.5402050095812,19.9263340202396,4.06551197105221,3.69930909069423
3146,92.5380129483326,19.9264214526093,4.06550230409225,3.6993038975985
3147,92.5358208804163,19.9265088852517,4.06549263710215,3.69929870431508
3148,92.5336288059992,19.92659631816,4.06548297008264,3.69929351084618
3149,92.5314367252456,19.9266837513277,4.06547330303446,3.69928831719395
3150,92.5292446383155,19.926771184748,4.06546363595833,3.69928312336061
3151,92.5270525453646,19.9268586184148,4.06545396885497,3.69927792934833
3152,92.5248604465439,19.9269460523216,4.06544430172506,3.69927273515916
3153,92.5226683419699,19.9270358783528,4.06543463456926,3.69926754079522
3154,92.5204762314785,19.9271295580355,4.06542496738809,3.6992623462585
3155,92.5182841145483,19.927223237971,4.06541530018082,3.69925715155033
3156,92.5160919907045,19.9273169181817,4.06540563294516,3.69925195667114
3157,92.5138998595226,19.9274105986878,4.06539596567901,3.69924676162159
3158,92.5117077206202,19.9275042795076,4.06538629838049,3.69924156640226
3159,92.5095155736534,19.9275979606573,4.06537663104793,3.699236371014
3160,92.5073234183169,19.9276916421516,4.06536696367981,3.69923117545757
3161,92.5051312543453,19.9277853240035,4.06535729627478,3.6992259797339
3162,92.5029390815142,19.9278790062246,4.06534762883166,3.69922078384399
3163,92.5007468996409,19.9279726888242,4.06533796134948,3.69921558778883
3164,92.4985547085843,19.9280663718102,4.06532829382742,3.69921039156964
3165,92.4963625082439,19.9281600551887,4.06531862626486,3.69920519518756
3166,92.4941702985578,19.9282537389639,4.06530895866136,3.69919999864398
3167,92.4919780795004,19.9283474231386,4.06529929101664,3.69919480194025
3168,92.4897858510793,19.9284411077137,4.0652896233306,3.69918960507785
3169,92.4875936133065,19.9285369019341,4.06527995560326,3.69918440805822
3170,92.4854013659742,19.928636266819,4.06527028783468,3.69917921088294
3171,92.4832091085715,19.9287356321371,4.06526062002395,3.69917401355297
3172,92.4810168406539,19.9288349979118,4.0652509521688,3.6991688160686
3173,92.4788245618442,19.928934364163,4.06524128426728,3.69916361843021
3174,92.4766322718218,19.9290337309079,4.06523161631773,3.69915842063835
3175,92.4744399703164,19.9291330981611,4.06522194831873,3.69915322269367
3176,92.4722476571057,19.9292324659347,4.06521228026909,3.699148024597
3177,92.4700553320141,19.9293318342388,4.06520261216784,3.69914282634922
3178,92.4678629949114,19.9294312030815,4.06519294401418,3.69913762795123
3179,92.4656706457119,19.9295305724686,4.06518327580756,3.6991324294041
3180,92.4634782843726,19.929629942404,4.06517360754759,3.69912723070903
3181,92.4612859108908,19.9297293128896,4.06516393923408,3.69912203186725
3182,92.4590935253011,19.9298286839256,4.06515427086703,3.69911683288003
3183,92.4569011276728,19.9299280555104,4.06514460244658,3.69911163374877
3184,92.4547087181055,19.9300274276409,4.06513493397304,3.69910643447498
3185,92.4525162967281,19.9301266493248,4.06512526544685,3.69910123506022
3186,92.4503238637126,19.9302254626827,4.06511559686857,3.69909603550597
3187,92.4481314192889,19.9303242765651,4.06510592823897,3.69909083581389
3188,92.4459389636991,19.9304230909616,4.06509625955906,3.69908563598583
3189,92.4437464971937,19.9305219058614,4.06508659082991,3.69908043602354
3190,92.4415540200294,19.9306207212532,4.06507692205262,3.69907523592892
3191,92.4393615324667,19.9307195371254,4.06506725322833,3.6990700357037
3192,92.4371690347678,19.9308183534663,4.06505758435818,3.69906483534973
3193,92.4349765271946,19.930917170264,4.06504791544333,3.69905963486881
3194,92.4327840100063,19.9310159875067,4.06503824648493,3.6990544342627
3195,92.4305914834581,19.9311148051828,4.06502857748413,3.69904923353322
3196,92.4283989478001,19.9312136232808,4.06501890844205,3.69904403268216
3197,92.4262064032761,19.9313124417893,4.0650092393598,3.69903883171116
3198,92.4240138501226,19.9314112606974,4.06499957023845,3.69903363062199
3199,92.4218212885691,19.9315100799945,4.06498990107904,3.69902842941631
3200,92.4196287188369,19.9316088996701,4.06498023188259,3.69902322809574
3201,92.4174361411343,19.9317081562459,4.06497056265007,3.69901802666198
3202,92.4152435555552,19.9318125647079,4.0649608933824,3.69901282511658
3203,92.4130509616936,19.931916973545,4.06495122408,3.69900762346079
3204,92.4108583591787,19.9320213827765,4.06494155474107,3.69900242169488
3205,92.4086657476848,19.9321257924201,4.06493188536398,3.69899721981886
3206,92.4064731269222,19.9322302024912,4.06492221594729,3.69899201783319
3207,92.404280496634,19.9323346130037,4.06491254648973,3.69898681573822
3208,92.4020878565948,19.9324390239698,4.06490287699016,3.69898161353431
